q,q_inferred,K,lower_mode,full_data_estimate,true_value,full_data_abs_error,num_saved,file,case
4,4,3,exact,0.3758367338744373,0.35699218749999984,0.018844546374437443,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,4,exact,0.28076655575599746,0.2532234527587889,0.02754310299720858,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,2,hierarchical,0.5141986873855627,0.5059374999999997,0.008261187385563029,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,3,hierarchical,0.37505921035579604,0.35699218749999984,0.0180670228557962,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
4,4,4,hierarchical,0.27795397584449444,0.2532234527587889,0.024730523085705558,4102000,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,NM100_vary_NU
5,5,2,exact,0.5059787946428573,0.5059374999999997,4.129464285762552e-05,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,3,exact,0.35746540178571434,0.35699218749999984,0.0004732142857145072,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,4,exact,0.25349553571428524,0.2532234527587889,0.00027208295549635553,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,2,hierarchical,0.5059787946428573,0.5059374999999997,4.129464285762552e-05,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,3,hierarchical,0.35746540178571434,0.35699218749999984,0.0004732142857145072,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
5,5,4,hierarchical,0.25349553571428524,0.2532234527587889,0.00027208295549635553,3584000,noisy_ghz_n5_p0d3_depth5_q5_data.npz,NM100_vary_NU
