q,K,case,lower_mode,mean_N_req,median_N_req,q16_N_req,q84_N_req,mean_total_copy_cost,median_total_copy_cost,geom_mean_total_copy_cost,q16_total_copy_cost,q84_total_copy_cost,found_rate,fallback_rate,epsilon_eff_mean,B,num_grid,file,state
3,3,NM1_vary_NU,hierarchical,198.83,111.0,35.0,346.0,994.15,555.0,615.7529036719477,175.0,1730.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,4,NM1_vary_NU,hierarchical,1150.6966666666667,952.0,346.0,2034.0,10356.27,8568.0,7647.024272862022,3114.0,18306.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,2,NM1_vary_NU,hierarchical,15.756666666666666,13.0,10.0,21.0,31.513333333333332,26.0,29.424707190347263,20.0,42.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,3,NM1_vary_NU,hierarchical,60.276666666666664,42.0,18.0,111.0,301.3833333333333,210.0,214.57808364666204,90.0,555.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,4,NM1_vary_NU,hierarchical,206.2,160.0,61.0,372.0,1855.8,1440.0,1358.959737290899,549.0,3348.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
5,2,NM1_vary_NU,hierarchical,15.106666666666667,14.0,10.0,21.0,30.213333333333335,28.0,28.368880812669364,20.0,42.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,3,NM1_vary_NU,hierarchical,29.966666666666665,21.0,14.0,44.0,89.9,63.0,72.6686029764078,42.0,132.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,4,NM1_vary_NU,hierarchical,58.81666666666667,53.0,21.0,92.0,235.26666666666668,212.0,187.33387518220374,84.0,368.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
1,2,NM100_vary_NU,exact,1128.0,1100.0,1000.0,1300.0,2256.0,2200.0,2224.246658261742,2000.0,2600.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,3,NM100_vary_NU,exact,2366.3333333333335,1700.0,1100.0,3700.0,7099.0,5100.0,5828.709805246833,3300.0,11100.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,4,NM100_vary_NU,exact,8222.0,3700.0,1900.0,14003.999999999993,32888.0,14800.0,19811.609084150343,7600.0,56015.99999999997,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,2,NM100_vary_NU,exact,1045.3333333333333,1000.0,1000.0,1100.0,2090.6666666666665,2000.0,2082.6984069186187,2000.0,2200.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,3,NM100_vary_NU,exact,1333.3333333333333,1100.0,1000.0,1700.0,4000.0,3300.0,3810.46271669495,3000.0,5100.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,4,NM100_vary_NU,exact,2508.6666666666665,1700.0,1100.0,3700.0,10034.666666666666,6800.0,8147.362592573062,4400.0,14800.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,2,NM100_vary_NU,exact,1014.0,1000.0,1000.0,1000.0,2028.0,2000.0,2026.3880914450604,2000.0,2000.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,3,NM100_vary_NU,exact,1111.0,1000.0,1000.0,1300.0,3333.0,3000.0,3296.387391105061,3000.0,3900.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,4,NM100_vary_NU,exact,1451.3333333333333,1300.0,1000.0,1900.0,5805.333333333333,5200.0,5483.3369583140175,4000.0,7600.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,2,NM100_vary_NU,exact,1002.6666666666666,1000.0,1000.0,1000.0,2005.3333333333333,2000.0,2005.0896748206926,2000.0,2000.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,3,NM100_vary_NU,exact,1020.3333333333334,1000.0,1000.0,1000.0,3061.0,3000.0,3057.0247696595766,3000.0,3000.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,4,NM100_vary_NU,exact,1050.6666666666667,1000.0,1000.0,1100.0,4202.666666666667,4000.0,4187.461725371037,4000.0,4400.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
