bootstrap,q,K,case,lower_mode,N_req,N_U_req,N_M_req,total_copy_cost,abs_error_at_crossing,epsilon_eff,found,used_fallback,file,state
10,1,4,NM1_vary_NU,exact,3616,3616,1,14464,0.04835413308501174,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
11,1,2,NM1_vary_NU,exact,32,32,1,64,0.03275297619047679,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
11,1,3,NM1_vary_NU,exact,752,752,1,2256,0.04114871944855991,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
11,1,4,NM1_vary_NU,exact,1879,1879,1,7516,0.003718583970475642,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
12,1,2,NM1_vary_NU,exact,17,17,1,34,0.026945903361343948,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
12,1,3,NM1_vary_NU,exact,391,391,1,1173,0.0037727667515125574,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
12,1,4,NM1_vary_NU,exact,6104,6104,1,24416,0.0832421736882541,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
13,1,2,NM1_vary_NU,exact,55,55,1,110,0.09641369047618992,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
13,1,3,NM1_vary_NU,exact,203,203,1,609,0.04537493131118581,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
13,1,4,NM1_vary_NU,exact,4121,4121,1,16484,0.09640236789088186,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
14,1,2,NM1_vary_NU,exact,231,231,1,462,0.06829577664399028,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
14,1,3,NM1_vary_NU,exact,579,579,1,1737,0.01081313895766467,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
14,1,4,NM1_vary_NU,exact,1879,1879,1,7516,0.003718583970475642,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
15,1,2,NM1_vary_NU,exact,106,106,1,212,0.09019906783468157,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
